What organisation do you work for or are affiliated with?,"What country does the data you are providing relate to?
Please note that we are only collecting data from lower and middle income countries.",Please select the statement which most closely describes how clubfoot service delivery is coordinated in your country.,At what level is the Ministry of Health (MoH) or other government department involved with the provision of treatment in your country?  Please tick all that apply,Adequate numbers of trained clinic staff,Designated clinic space in government hospitals,Treatment materials (casting and tenotomy supplies) provided by government and readily available,FABs are available when and where needed,FABs are of high quality,"FABs are free, subsidized, or have low-fees",Ponseti Method is included in relevant pre-service curricula (at universities or educational insitutions),Training plan is in place to prepare new providers (to cover new clinics or staff turn-over),A local team of trainers is in place and available to train new providers,EDR systems for clubfoot are in place in primary care and maternity settings,Labor and delivery staff trained to identify and refer clubfoot at birth ,Relevant healthcare workers receive pre-service EDR training,What are the main referral sources are you receiving patients from (please select top 3 referral sources):,"Please provide any further information or explanation to extent to which coordination, treatment provision, FABs, workforce development or EDR are integrated within the health system.",Disability,Newborn health,Early childhood development,Rehabilitation,Birth defects,Primary care,Assistive Technology,Other,"Please provide additional information about policies or strategies that have included clubfoot service delivery, including any policies not listed above.","NGO/external support. Which aspects of clubfoot service delivery are supported with finance or resource by the NGOs, if any?
Please tick all that apply",To what extent is the aforementioned aspects of clubfoot delivery supported financially or otherwise by NGOs,Please provide any additional information you would like about NGO support of aspects of clubfoot service delivery,What are the biggest or most common challenges you are facing in providing a clubfoot programme in your country?,"Are you providing data on the whole country, or a different area?
(If you answered 'region' 'group or network of clinics' or 'single clinic', please state the name  in the 'Other'  field below.)",Please tell us how many active clinic(s) in 2023 you are providing data from:,"In 2023, how many new children with clubfoot started Ponseti treatment in the clinics that you are reporting on (please provide a total for all clinics)?",0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,Does your clubfoot programme support treatment of the following age groups:,"In 2023, what percentage of children who started Ponseti casting received less than 8 casts prior to starting Foot Abduction Bracing? (if known)","In 2023, what percentage of children who completed Ponseti casting also received an Achilles' tendon tenotomy? (if known)","In 2023, how many children started their first foot abduction brace in the clinics that you are providing data from?","In 2023, how many children completed 2 (two) years of foot abduction bracing in the clinics that you are providing data from?","In 2023, how many children completed 4 (four) years of foot abduction bracing in the clinics that you are providing data from? (if known - if not known, please enter 'not known' below)"
"I am employed at Friends of the Disabled (FOD)/ Hospital and Rehabilitation Centre for Disabled Children (HRDC), where we offer thorough and holistic treatment and rehabilitation services for children with physical disabilities. At HRDC, clubfoot stands out as the most prevalent diagnosis, constituting approximately 30% of cases.",Nepal,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is currently no dedicated clubfoot program established by the Ministry of Health or any other governmental authorities in Nepal.;,Insufficient,Not at all,Insufficient,Established,Established,Established,Not at all,Not at all,Insufficient,In progress,Insufficients,Insufficients,Community awareness programme;Other patients (word of mouth);New born screening service;,"For the past 39 years, our organization (FOD/HRDC) has been spearheading various initiatives such as treatment provision, FABs, workforce development, and EDR, all of which have not been integrated within the Government health system in Nepal. We've trained over 34 orthopedic surgeons in specific clubfoot management techniques, along with more than 700 paramedic staff from local health facilities. These trained professionals are strategically positioned across the country to establish an extensive network connecting clubfoot patients with HRDC, and they are actively delivering Ponseti services locally.",In progress,In progress,In progress,In progress,In progress,In progress,In progress,Emerging,"FOD/HRDC has developed its own patient management strategy, where clubfoot cases are given top priority. This policy is known as the ""Patient Management Strategy.""",Awareness raising;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Parent advisors or support workers;Clinician salaries;Clinic space;Clinician Training;,More than half but not fully,"NGO support plays a crucial role in countries like Nepal, where clubfoot management is not prioritized by the government.","Setting up a government network poses the most common challenge, as clubfoot management remains low on the priority list of the Government of Nepal.",Group or network of clinics ,4,541,335,48,37,22,0,71,26,2,Children presenting for treatment at any age,0.94,0.88,455,117,
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,74,6,8,4,0,20,2,2,Children presenting for treatment at any age,0.77,0.59,89,105,
"Hope Walks Niger, a Branch of Hope Walks International",Niger,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,"We are working closely with the Regional Director of Health, MoH branches in the country. But, the Ministry of Health itself is not Directly envolved. ;There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;",Not at all,Established,Not at all,Established,In Progress,Established,Not at all,Not at all,Not at all,In progress,In progress,In progress,New born screening service;Community awareness programme;Maternity hospitals or units;,None of them,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Not at all,Not at all,None,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,"Some support is provided, but less than half",,"One partner NGO is supporting half of a single clinic's cost per month, and their CBR staff help identifying and referring patients to that clinic.",Whole country,9,283,215,34,14,7,8,5,0,0,"if the treatment is possible by Ponseti Method, they are enrolled even if they are above 2",20-30%,30-40%,71,,
The Straight Child Foundation in affiliation with Miraclefeet ,Nigeria,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;,Not at all,Insufficient,Not at all,Not at all,Not at all,Not at all,Insufficient,Emerging,Emerging,In progress,Emerging,Emerging,Community awareness programme;Maternity hospitals or units;New born screening service;,"The Straight Child Foundation in partnership with Miraclefeet set up her EDR TRAININGS, no support yet fro  the government ",Insufficient,In progress,Insufficient,In progress,In progress,Don't know,Emerging,Don't know,The are policies but yet o be implemented ,Awareness raising;Early Detection and Referral;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;,Fully,None for now,Attitudinal approach. ,Region,20,1400,853,192,91,68,0,144,38,14,Children presenting for treatment at any age,0.71,0.76,862,88,
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2180,897,243,168,96,0,97,3,0,Children presenting for treatment at any age,0.54,0.93,1273,0,
"Health Department - SiPHA, Kundiawa Hospital, Physiotherapy and Rehabilitation Department. ",Papua New Guinea,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,The Ponseti program was introduced into the country by NGO since 2007 and most government health facilities Doctors and Physiotherapist plus rehabilitation sections were trained on Ponseti method of Club foot treatment but it has not been involved into the main system and even MOU signed but still the physiotherapy Department across the country are using Ponseti with few surgeons. ;,Insufficient,Insufficient,Insufficient,Insufficient,Not at all,Not at all,Insufficient,Emerging,Established,Emerging,Emerging,Insufficients,New born screening service;Maternity hospitals or units;Birth defects screening service;,"The Ponseti program was already existed since it's introduced into the country but due to not most surgeons involved in doing tenotomy and not every physiotherapist confident in managing Ponseti due to lacking of the protocol,they ignore and refer most to my clinic and also lack of FAB availability could not maintain the foot correction after initial correction some clinical gave up which leads to recurrent and complex and some are able to access my improvised FAB out of timber and glue which I initiated to sustain my Ponseti method of treating club foot in my clinic with 9 physiotherapist and 16 to 20 physiotherapist students annually. I am still the Ponset program chairman and facilitator in the country. To access foot abduction brace (FAB) from outside of the country is not possible so we depend mostly on our locally improvised FAB but the outcome is very good and all our children treated using improvised FAB are already walking around with normal feet.",Insufficient,Insufficient,Insufficient,Emerging,Insufficient,Emerging,Emerging,Insufficient,There is no policy in placed in the entire health system but individuals settings in different health facilities especially hospital physiotherapy and rehabilitation department has some guidelines inthe treatment of clubfoot as they are the ones receiving CTEV kids so to continue to treat require guidelines and policies with in their own facilities.,"Since 2007, the Callan services in the country actually supported the program through CBM  especially in introducing the program and supply of FAB plus training on Ponseti but couldn't continue to sustain the support but as service providers on the ground especially physiotherapy and rehabilitation sections together with few doctors continue to Ponseti services as they see still CTEV  kids;",Not at all,The program was introduced into the country and was supported throughout by by Callan Services through CBM and the support continue for some years and local government departments clinics especially physiotherapy and rehabilitation departments actually continue to sustain the Ponseti program up till now. ,The program yet to be recognised and absorbed into the system for good coordination and recognition and support especially with the clinicians and also to introducing into training institutions curriculum so that everyone in the field of health services at least has the basic knowledge of Ponseti and as they get into the system will promote or either treat or refer to existing clinics. One of our main existing problem is accessing of FAB from outside of the country as we don't have local production.,There are few active clinics who have actually sent in their cases especially for confirmation plus tenotomy and even FAB which is most like network of clinics but most parents from other parts of PNG  did self referral to my clinic as they heard the my clinic is the center of Ponseti clinic and also parents prepare to come to clinic that is recognised for Ponseti,8,56,40,11,3,2,0,0,0,0,"Only children of less than 2 years but at times children who are more than 2 years were treated using Ponseti but again depends on the flexibility of the foot assessment and with the indication for tenotomy present. So far, we have successful cases of kids who are more than 2 years of age receiving Ponseti",80-90%,90-100%,45,12,
,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,134,7,0,2,0,26,5,1,Children presenting for treatment at any age,0.78,0.92,171,138,
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,34,11,7,4,0,3,0,0,Children presenting for treatment at any age,0.61,0.82,44,0,
"Philippine NGO Council on Population, Health and Welfare, Inc.",Philippines,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,In progress,Emerging,Insufficient,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Maternity hospitals or units;Other patients (word of mouth);Social Media;,"At the moment, clubfoot treatment is not yet integrated in the national government health system. Services are provided currently for free in selected government hospital because of an MOU of our NGO and MiracleFeet with government hospitals.",Not at all,Not at all,Insufficient,Not at all,Not at all,Insufficient,Not at all,Insufficient,There is a mention of clubfoot in the Philippine National Insurance coverage policy under Z benefit package but the coverage is insufficient and even incorrect. Ex. casting procedure can be charged once every three months or tenotomy can be charged for one leg.,Awareness raising;Early Detection and Referral;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Patient transport and access;Programme management/coordination;,Fully,"Awareness raising aspect provided by NGOs include development and printing of information materials (baby booklet, posters, flyers) as well as maintenance of web-based and social media based platforms.","Ability of a number of patients to reach the clinics supported by the NGO and to start treatment and sustain or complete it. The Philippines is an archipelago and patients, most of whom come from extremely under-resource families would have to travel great distances to reach the clinic where there are trained service provider and the needed treatment supplies including the FAB.",data from the clinics we support and assist,29,690,551,53,23,26,0,50,4,4,Children presenting for treatment at any age,0.7,0.8,580,277,
Russian Ponseti Association,Russian Federation,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Established,In progress,Established,Established,Established,Insufficient,Emerging,Insufficient,In progress,Established,In progress,New born screening service;Birth defects screening service;Maternity hospitals or units;,All information about us is on the website WWW.PONSETI.RU,Established,Established,In progress,Established,Established,Established,Established,In progress,"All social networks have support and information groups, as well as treatment clinics in Russia. Additional information on the website www.rfasyar.ru. www.ponseti.ru",Plaster of Paris and other materials;Treatment fees;Clinic space;,More than half but not fully,,"
relapse treatment",Whole country,15,82,,,15,21,18,17,12,11,Children presenting for treatment at any age,90-100%,90-100%,0.99,0.9,
Hope Walks,Rwanda,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;There is minimal support for clubfoot treatment provided within the national health system;,Established,Established,Not at all,Established,In Progress,Established,Not at all,Established,Established,Insufficients,Emerging,Emerging,"Maternity hospitals or units;Other patients (word of mouth);Health centers, posters and readio;",Hope Walks trained 30 Trainers from the government hospitals who made outreaches from their hospitals to train other Health care professionals and CHWs and traditional healers in their catchment areas: 6000+ persons were trained on EDR by these government hospitals staff.,In progress,Insufficient,In progress,In progress,In progress,In progress,In progress,Not at all,Development and approval of national Clubfoot treatment guidelines by MoH,"Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;Home visits,  Church disability inclusion workshops;",More than half but not fully,Our NGO provides Vulnerable Family Transport assistance,"Low awareness of Clubfoot and its treatment
Turn over of trained clinicians
Limited budget
Lack of sustainable transport means to the clinics
Missed appointment & Dropout","Gahini Rehabilitation Center, Gikondo Inkuru Nziza Orthopedic Hospital, Muhima District Hospital, Kabgayi District Hospital ,University Teaching Hospital of Butare (CHUB), Ruhengeri Referral Hospital ,Gihundwe District Hospital, Masaka District Hospital, Rilima Orthopedic and Pediatric Surgery and Rehabilitation Centre ,Nyamata District hospital ,Kibuye Referral Hospital, Gisenyi District Hospital, HVP Gatagara Orthopedic & Rehab. hospital",13,493,444,49,0,0,0,0,0,0,Under 2 years of age only,70-80%,70-80%,438,226,109
ONG PDEF (Partenariat pour le Développement de l'Enfant et de la Famille),Senegal,There is no central coordination of clinics providing Ponseti treatment,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Established,Established,Not at all,Established,Established,Established,Not at all,Not at all,Established,Established,Established,Established,Maternity hospitals or units;Birth defects screening service;Community awareness programme;,"La coordination, , la fourniture de traitements, les FAB, le développement de la main-d'œuvre ou l'EDR sont intégrés au système de santé dans la mesure où dans chaque clinique où nous intervenons:
il y'a une unité de chirurgie pédiatrique;
il y'a une équipe composée de Médecins chirurgiens pédiatres et  de plâtriers  qui gèrent la prise en charge de pieds bot;
Il y'a une convention de partenariat clairement définie et signée entre nous et hôpital ",Not at all,Established,Established,Established,Not at all,Not at all,Not at all,Not at all,"les politiques et stratégies de prise en charge des handicapés
les politiques de l'action sociale du ministère de la santé au niveau local","Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Clinician Training;Programme management/coordination;Dotation tablette pour CAST, formation Sage femmes, formation acteurs communautaires pour la sensibilisation, ;",Not at all,Appui en logistique,"L'appropriation complète du programme pied bot par le ministère de la santé et de l'action sociale du ministère de la santé.
L'intégration de la méthode Ponseti du programme pied bot dans le curriculum de formation des prestataires de santé.
La disponibilité des attelle pour les plus de ans.
La formation des Sages-femmes et des relais communautaires des postes de santé desservis par le programmes pied bot pour la sensibilisation,  détection et la référence précoce dans toutes les communautés desservis par le programme ",Régions de Kaolack et Kaffrine,2,120,96,9,2,3,0,7,1,2,Children presenting for treatment at any age,0.75,0.88,99,23,
Sierra Leone National Clubfoot Program,Sierra Leone,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,All aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Established,Insufficient,Established,Established,Established,In progress,Emerging,Established,Established,In progress,In progress,New born screening service;,"EDR - The Government of Sierra Leone (GoSL) created the space to conduct EDR's across the country through the District Health Management Team (DHMT)

Treatment Provision - GoSL through the Ministry of Health (MoH) provides Treatment centers in government and government assisted hospitals, staff, utilities, some furniture and renovations.

FABs Production - Before the intervention of Miraclefeets, SLNCP previous donour trained MoHS staff at NRC were to produce FABs for sustainability and it is part of the country's local content policy",Established,In progress,In progress,Established,In progress,Established,Established,Not at all,"Assistive Technology (AT) Policy and Strategic Plan 2021-2025

Priority Assistive Technology Products List of Sierra Leone

ASSISTIVE TECHNOLOGY COUNTRY CAPACITY ASSESSMENT
SIERRA LEONE
National Assistive Technology Procurement Guidelines of Sierra Leone
National Assistive Technology Standards of Sierra Leone",Non;,Not at all, ,"Mobility/Vehicles are of great challenged to reach remote areas to follow-up on patients on dropouts.

It is also challenging to facilitate our Mobile outreach clinics to help manage the issues of Casting and Bracing droupouts

Distance covered by caregivers to access treatment centers is also a serious challenge because most of the caregivers staying in the province are realtively poor",Whole country,12,256,197,14,7,4,0,21,9,4,Children presenting for treatment at any age,0.95,0.97,214,19,
International Committee of the Red Cross,Somalia,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;Somali Red Crescent Society conducts club foot clinics as far as I am aware;,Insufficient,Don't know,Not at all,In Progress,Established,In Progress,Insufficient,Insufficient,Emerging,Insufficients,Insufficients,Insufficients,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,TEV Treatment is not incorporated into the Health System.  Services are provided through SRCS clinics,Emerging,Insufficient,Insufficient,Emerging,Emerging,Emerging,Insufficient,Don't know,,Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;,Fully,Norcross supplies the funding. Miracle Feet provide the FAB and some training. ICRC supports additional clinical training and some raw materials,"Funding, HR, Coordination, Awareness, Training of key staff and workers.  Additionally, Security concerns",Whole country,3,258,160,48,15,7,0,25,3,0,Children presenting for treatment at any age,0.83,0.94,230,70,3
Steps Charity NPC,South Africa,"We do not have a Ministry of Health, The department of Health has 9 departments, 1 per province, clubfoot is coordinated by province. ",All aspects of clubfoot treatment are provided as part of routine care within the national health system;,Established,Established,Established,Insufficient,In Progress,Established,Established,Established,Established,Established,In progress,In progress,New born screening service;Community awareness programme;Maternity hospitals or units;,"National network of 40 Ponseti clinics with trained staff. Patient families receive Steps information leaflets and clubfoot education and support. Tertiary clinics linked to medical schools have clinical staff rotation of registrars and other medical students. The department of health provides consumables including casting materials and braces, clinic space, and theatre time. Families can apply for a temporary Care Dependency Grant to assist with transport costs. ",Not at all,Established,Established,In progress,Emerging,Established,Established,Not at all,Collaboration with other organisations working with birth defects to lobby government to improve birth defect monitoring. ,Awareness raising;Early Detection and Referral;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,"Some support is provided, but less than half","We developed all educational materials. We plan and run the Ponseti training workshops in partnership with the paediatric orthopaedic association. We developed a clinic coordination toolkit for all clinics to standardize processes. Patient stats are submitted weekly from all partner clinics, we analyse and distribute individualized monthly reports. We run annual awareness campaigns. Our in-clinic coordinators support 65% of all patients, the others are supported by clinic staff using our materials and processes.   ","We have a large rural population and high unemployment rates, socio economic challenges and high transport costs makes it difficult for some patients to access clinics. ",Group or network of clinics ,39,1162,,,,,,,,,Children up to age 6,,,,,
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,45,6,5,2,0,0,0,0,Children presenting for treatment at any age,0.79,0.53,41,25,
Humanity&Inclusion ,Sri Lanka,There is no central coordination of clinics providing Ponseti treatment,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Insufficient,Established,Insufficient,Insufficient,Insufficient,Established,Established,Insufficient,Established,Established,Established,Insufficients,Maternity hospitals or units;,Almost the 100% of deliveries happen in a hospital and the patient will be identified at the newborn check up and referred to the nearest hospital. All the secondary-level hospitals under the government have an orthopedic clinic providing treatment for clubfoot. limitations in the sufficient & quality materials including the casting & bracing .,Established,Don't know,Don't know,Insufficient,Insufficient,Established,Insufficient,Don't know,,Awareness raising;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;,More than half but not fully,,"awareness of the rural population& training ,quality of service delivery at the rural locations ",Whole country,5,414,333,17,17,18,0,22,7,0,Children presenting for treatment at any age,0.64,0.64,364,123,
Hope Walks,Sudan,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,In progress,Insufficient,Emerging,In Progress,Insufficient,Insufficient,Insufficient,Not at all,Emerging,Emerging,Emerging,Maternity hospitals or units;Other patients (word of mouth);,"There is no integration between the MOH and clubfoot care clinics in terms of FABs, the only place that provides them for free is Khartoum Cheshire Home and a private pharmacy where patients have to purchase them. Regarding EDR it's also not included, the only efforts are done from KCH and individual health providers in the country. For workforce development, the MOH has no plans for clubfoot treatment providers, the first official ACT Training that took place in Sudan was in 2015 by the ICRC, where 6 clinicians were trained on the job by a certified trainer, then Hope Walks held the first ACT basic training in 2022.",Emerging,Emerging,Emerging,In progress,Not at all,Emerging,Not at all,Not at all,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,,"We are lacking the support from the MOH, there's no data base for clubfoot prevalence in Sudan, there's also no outreach campaigns about available treatment options, even between medical staff the treatment guidelines are not available.",Whole country,2,214,173,15,10,4,7,5,0,0,Under 2 years of age only,90-100%,10-20%,97,,
ICRC,Syrian Arab Republic,There is no fully functional clinic ,There is minimal support for clubfoot treatment provided within the national health system;Operation is performed to new borns ;,Emerging,Established,Emerging,Emerging,Emerging,Emerging,Not at all,Not at all,Insufficient,Insufficients,Insufficients,Not at all,Other patients (word of mouth);New born screening service;,"ICRC has helped MoH to establish one CF clinic and provides materials. however, the service is not taking off as expected, foremost because of limited awareness of the services, surgery being  considered as the best option, families challenges of access services  ",Not at all,Insufficient,Insufficient,Not at all,Insufficient,Not at all,Insufficient,Don't know,,Awareness raising;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;,Fully,,"Surgery as the treatment of choice, profit for Drs from surgery, limited awareness among health care practitioners ",Region,1,12,12,,,,,,,,Under 2 years of age only,0-10%,70-80%,,0,0
Management and Development for Health (MDH),Tanzania,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Emerging,In progress,Insufficient,Established,Established,Established,Insufficient,Insufficient,Emerging,Emerging,Insufficients,Emerging,Maternity hospitals or units;Community awareness programme;Other patients (word of mouth);,MDH is working with the Ministry of Health under integration program to ensure that the Government is in full support of the program. ,In progress,In progress,In progress,Established,In progress,Established,In progress,In progress,The Ministry of Health Tanzania launched Rehabilitation strategic Plan in November 2021. The strategic plan includes all rehabilitation services provided in the country.,Awareness raising;Early Detection and Referral;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician salaries;Programme management/coordination;,Fully,There is less support in the area of surgery for neglected clubfoot.,The most common challenge is neglected clubfoot where there are  no continuity in treatment after conservative with POP casting. The plan for surgery is needed to ensure complete treatment.,Region,65,1847,1577,138,41,24,16,31,15,5,Children presenting for treatment at any age,0-10%,70-80%,1112,664,300
"Retired, working in private hospitals: Bumrungrad International hospital and Vibhavadi General Hospital",Thailand,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,In progress,Established,Established,In Progress,In Progress,In Progress,Established,In progress,Established,In progress,In progress,In progress,New born screening service;Birth defects screening service;Other patients (word of mouth);,"In Thailand there is an established referral system. Pediatric orthopaedic surgeons are available in all big government and private hospitals. Orthopaedic surgeons who see clubfoot babies and if they think they are able to apply the Ponseti method, they are encouraged to do. If they aren't or if the treatment is not successful, they will referred the patients to pediatric orthopaedic surgeons. I think clubfoot treatment in Thailand with the Ponseti method is pretty universal and up to standard.",In progress,In progress,In progress,In progress,In progress,In progress,In progress,In progress,I have no information about theses.,Foot Abduction Braces;,Not at all,Thank you but it seems unnecessary.,the number of pediatric orthopaedics who are capable of applying Ponseti method is not yet adequate.,Bumrungrad and Vibhavadi hospitals,2,10,3,,,3,3,1,,,Children presenting for treatment at any age,90-100%,80-90%,,,
Hưng Vuong hospital,Vietnam,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Emerging,Emerging,Established,Established,In Progress,Emerging,Established,Established,Established,Emerging,Emerging,Emerging,New born screening service;Birth defects screening service;Other patients (word of mouth);,No idea,Established,Established,Established,Established,Established,Established,Established,Don't know,,Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Awareness raising;Early Detection and Referral;Patient transport and access;,More than half but not fully,,,Region,1,25,25,0,0,0,0,0,0,0,Under 2 years of age only,90-100%,80-90%,25,15,10
Miraclefeet,Togo,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Established,Established,Insufficient,Established,Established,Established,Established,Established,Established,Established,Established,Established,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,"the aspects handled by NGOs are:
- ACT training
- CAST training
- BDU training
- supervision training
- tenotomy costs
- materials (plaster, cotton, softbound)
- clinics (internet, SMS, tablet for CAST)
- home visit
- motivation of outreach workers
-cost of awareness materials (image box, posters, flyers),
- coordination costs (internet, telephone)
-Provision FABs free",Established,Established,Established,Established,Established,Established,Established,Not at all,"The treatment of clubfoot in Togo is integrated into the health care system. All players are involved: from community health workers to the ministry's top officials. This includes the involvement of rehabilitation structures, health training schools and associations of health professionals (physiotherapists, orthoprosthetists, midwives, etc.).",Early Detection and Referral;Awareness raising;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;,Fully,What to do with clubfooted children over the age of 2 who have difficulties with schooling and social integration due to their clubfoot deformity?,"Care for elderly clubfoot children, who are increasingly in demand.",Whole country,8,235,141,33,8,1,0,0,0,0,Children presenting for treatment at any age,0.91,0.86,154,0,
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,917,58,28,26,0,49,5,0,Children presenting for treatment at any age,0.81,0.86,924,457,
ICRC,"Yemen, Rep.",There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,Not at all,Not at all,Insufficient,In Progress,Insufficient,Not at all,Not at all,Not at all,Insufficients,Not at all,Not at all,Other patients (word of mouth);Private orthopedic clinics;,Not applicable,Insufficient,Don't know,Don't know,Emerging,Don't know,Don't know,Emerging,Don't know,N/A,Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Programme management/coordination;,More than half but not fully,Most of the support from NGO,"Poor managemet of patients, lack of EDR, Lack of awareness of club foot services",Single clinic ,2,142,79,11,22,16,11,6,6,1,Under 2 years of age only,I am not able to provide this data,70-80%,111,,
Hope walks Zambia,Zambia,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,Insufficient,Insufficient,Insufficient,In Progress,Insufficient,Not at all,Not at all,Insufficient,Insufficients,Insufficients,Insufficients,Maternity hospitals or units;Community awareness programme;church communities;, most hospitals will not have the necessary supplies for a complete clubfoot treatment so there's a lot of partial treatment going on apart from those carried out at some private hospitals and in hope walks supported centers. so normally they are encouraged to refer the patients to where treatment can be done fully.,Insufficient,Insufficient,Don't know,Don't know,Insufficient,Don't know,Don't know,Don't know, There's been a redesign of the child health card that includes monitoring for disability spearheaded by the newborn and child care unit of ministry of health,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Parent advisors or support workers;Clinician Training;Programme management/coordination;,Fully,, the distance to access treatment is still huge along with the cost of travel.,"University Teaching hospital, beit-cure hospital, monze mission hospital, livingstone teaching hospital, Cheshire homes in Mongu, kabwe central hospial, chilonga mission hopital, mansa general hospital, Arthur Davison children's hospital, Kitwe teahing hospital",10,471,378,45,27,10,4,8,0,0,Under 2 years of age only,80-90%,30-40%,209,,
